Retweets,Time,Title,User
40,2017-10-05 18:10:39,BREAKING: U.S. Justice Department issues memo saying anti-discrimination law does not protect transgender workerspic.twitter.com/xsemjfyDaa,@Reuters
43,2017-10-05 18:20:08,BREAKING: U.S. Justice Department issues memo saying anti-discrimination law does not protect transgender workerspic.twitter.com/xsemjfyDaa,@Reuters
26,2017-10-05 18:31:59,"‘Mommy, when is the food box coming?': Venezuela's crisis takes a psychological toll on children. http://reut.rs/2yKtIPp  @AlexandraUlmerpic.twitter.com/kVGo9RsYW0",@Reuters
32,2017-10-05 18:40:06,"‘Mommy, when is the food box coming?': Venezuela's crisis takes a psychological toll on children. http://reut.rs/2yKtIPp  @AlexandraUlmerpic.twitter.com/kVGo9RsYW0",@Reuters
38,2017-10-05 18:49:17,"‘Mommy, when is the food box coming?': Venezuela's crisis takes a psychological toll on children. http://reut.rs/2yKtIPp  @AlexandraUlmerpic.twitter.com/kVGo9RsYW0",@Reuters
33,2017-10-05 19:00:11,"Russia, Saudi Arabia cement new friendship with king's visit http://reut.rs/2y3CVW3 pic.twitter.com/F9riZxesru",@Reuters
36,2017-10-05 19:10:06,"Russia, Saudi Arabia cement new friendship with king's visit http://reut.rs/2y3CVW3 pic.twitter.com/F9riZxesru",@Reuters
36,2017-10-05 19:18:55,"Russia, Saudi Arabia cement new friendship with king's visit http://reut.rs/2y3CVW3 pic.twitter.com/F9riZxesru",@Reuters
26,2017-10-05 19:30:13,Saudi Arabia agrees to buy Russian s-400 air defense system: Arabiya TVhttp://reut.rs/2yqIj6C ,@ReutersWorld
28,2017-10-05 19:40:06,Saudi Arabia agrees to buy Russian s-400 air defense system: Arabiya TVhttp://reut.rs/2yqIj6C ,@ReutersWorld
27,2017-10-05 19:50:07,Saudi Arabia agrees to buy Russian s-400 air defense system: Arabiya TVhttp://reut.rs/2yqIj6C ,@ReutersWorld
23,2017-10-05 19:58:52,"Syria fighting worst since Aleppo, air strikes deadly: aid agencies http://reut.rs/2z1pd3J pic.twitter.com/HlFp3n3lNp",@Reuters
23,2017-10-05 20:11:15,"Syria fighting worst since Aleppo, air strikes deadly: aid agencies http://reut.rs/2z1pd3J pic.twitter.com/HlFp3n3lNp",@Reuters
29,2017-10-05 20:20:11,"Syria fighting worst since Aleppo, air strikes deadly: aid agencies http://reut.rs/2z1pd3J pic.twitter.com/HlFp3n3lNp",@Reuters
28,2017-10-05 20:29:26,"Russia, Saudi Arabia cement new friendship with king's visithttp://reut.rs/2yszMzS ",@Reuters
28,2017-10-05 20:40:05,"Russia, Saudi Arabia cement new friendship with king's visithttp://reut.rs/2yszMzS ",@Reuters
24,2017-10-05 20:50:05,"Tropical Storm Nate pounds Central America, at least three dead http://reut.rs/2z1giPK pic.twitter.com/UB4Mll9DsX",@Reuters
19,2017-10-05 21:00:58,How the Las Vegas shooter foiled a well-drilled counter-terrorism planhttp://reut.rs/2y2UWnk ,@Reuters
21,2017-10-05 21:09:56,"Boeing-backed, electric-hybrid airliner set to hit market in 2022 http://reut.rs/2z14CwH pic.twitter.com/PX0Y0Yo3zP",@Reuters
26,2017-10-05 21:23:06,"Boeing-backed, electric-hybrid airliner set to hit market in 2022 http://reut.rs/2z14CwH pic.twitter.com/PX0Y0Yo3zP",@Reuters
28,2017-10-05 21:31:44,Russian hackers get U.S. cyber defense details from NSA: WSJ http://reut.rs/2y2M4hg pic.twitter.com/HNcUV1gID7,@Reuters
31,2017-10-05 21:34:31,Russian hackers get U.S. cyber defense details from NSA: WSJ http://reut.rs/2y2M4hg pic.twitter.com/HNcUV1gID7,@Reuters
30,2017-10-05 22:04:50,Trump plans to announce he will decertify Iran nuclear deal: Washington Posthttp://reut.rs/2yrYT5P ,@Reuters
26,2017-10-05 22:25:22,Trump expected to decertify Iran nuclear deal: officialhttp://reut.rs/2ysly1V ,@Reuters
31,2017-10-05 22:50:05,JUST IN: FDA approves first test for screening Zika virus in blood donationspic.twitter.com/8WhPh1lty8,@Reuters
31,2017-10-05 22:50:05,JUST IN: FDA approves first test for screening Zika virus in blood donationspic.twitter.com/8WhPh1lty8,@Reuters
30,2017-10-05 23:00:12,JUST IN: FDA approves first test for screening Zika virus in blood donationspic.twitter.com/8WhPh1lty8,@Reuters
31,2017-10-05 23:00:12,JUST IN: FDA approves first test for screening Zika virus in blood donationspic.twitter.com/8WhPh1lty8,@Reuters
